,symbol,cons_up,cons_dn,max_cons,total,median_logFC,FDR_comb,Fisher_P.Val,pathway_reactome
116,C2,2,3,3,10,0.1463554,1.51E-06,1.62E-06,"Immune System,Complement cascade,Innate Immune System,Initial triggering of complement,Activation of C3 and C5,Regulation of Complement cascade"
117,Vim,0,3,3,10,0.145791925,5.85E-05,0.007147346,"Apoptotic cleavage of cellular proteins,Caspase-mediated cleavage of cytoskeletal proteins,Apoptosis,Programmed Cell Death,Apoptotic execution phase,Muscle contraction,Striated Muscle Contraction,Signaling by Rho GTPases,RHOBTB1 GTPase cycle,RHOBTB GTPase Cycle,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,Signal Transduction,RHO GTPase cycle,Selective autophagy,Autophagy,Aggrephagy,Macroautophagy"
31,Dap3,0,4,4,10,0.14567565,7.83E-06,2.30E-07,"Metabolism of proteins,Translation,Mitochondrial translation elongation,Mitochondrial translation,Mitochondrial translation termination"
118,Sap30,3,0,3,10,0.14495142,0.000660185,0.004434129,"Chromatin modifying enzymes,Chromatin organization,HDACs deacetylate histones"
32,Aldob,4,1,4,10,0.1439077,4.17E-07,2.40E-11,"Metabolism of carbohydrates,Metabolism,Glucose metabolism,Glycolysis,Gluconeogenesis,Fructose metabolism,Fructose catabolism"
33,Mmp14,4,0,4,10,0.14385925,1.59E-05,4.33E-06,"Collagen degradation,Degradation of the extracellular matrix,Extracellular matrix organization,Activation of Matrix Metalloproteinases"
34,Ada,4,1,4,10,0.142933006,1.21E-06,3.29E-06,"Purine salvage,Nucleotide salvage,Metabolism of nucleotides,Metabolism"
119,Slc6a13,3,0,3,10,0.14195995,0.000187447,1.83E-05,"Na+/Cl- dependent neurotransmitter transporters,Transport of bile salts and organic acids, metal ions and amine compounds,Transport of small molecules,SLC-mediated transmembrane transport,Neuronal System,Neurotransmitter release cycle,GABA synthesis, release, reuptake and degradation,Transmission across Chemical Synapses,Reuptake of GABA"
5,Mttp,5,0,5,10,0.141851,1.30E-06,5.02E-05,"Transport of small molecules,Plasma lipoprotein assembly,VLDL assembly,Plasma lipoprotein assembly, remodeling, and clearance,Chylomicron assembly"
120,Pigx,3,0,3,8,0.1417185,3.34E-05,0.001799529," synthesis of GPI-anchored proteins,Metabolism of proteins,Post-translational protein modification,Synthesis of glycosylphosphatidylinositol (GPI)"
121,Glrx,3,0,3,10,0.14141225,6.37E-05,4.22E-05,"Metabolism of nucleotides,Interconversion of nucleotide di- and triphosphates,Metabolism"
122,Stard5,2,3,3,10,0.14109825,2.43E-07,3.35E-05,"Metabolism,Metabolism of steroids,Bile acid and bile salt metabolism,Recycling of bile acids and salts,Metabolism of lipids"
123,Hexb,0,3,3,10,0.1408104,0.000365462,4.69E-08,"Glycosphingolipid metabolism,Sphingolipid metabolism,Metabolism,Metabolism of lipids,Metabolism of carbohydrates,Keratan sulfate/keratin metabolism,Keratan sulfate degradation,Glycosaminoglycan metabolism,Chondroitin sulfate/dermatan sulfate metabolism,CS/DS degradation,Hyaluronan uptake and degradation,Hyaluronan metabolism,Innate Immune System,Neutrophil degranulation,Immune System"
35,Pon2,4,0,4,10,0.14016215,1.59E-05,1.79E-07,"Fatty acid metabolism,Metabolism of lipids,Synthesis of 5-eicosatetraenoic acids,Metabolism,Arachidonic acid metabolism"
124,Ngef,1,3,3,10,0.13954165,1.03E-05,3.13E-05,"Death Receptor Signalling,NRAGE signals death through JNK,Signal Transduction,Cell death signalling via NRAGE, NRIF and NADE,p75 NTR receptor-mediated signalling,Axon guidance,Nervous system development,EPH-Ephrin signaling,Developmental Biology,EPHA-mediated growth cone collapse,Signaling by GPCR,G alpha (12/13) signalling events,GPCR downstream signalling,RHOA GTPase cycle,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,Signaling by Rho GTPases,RHO GTPase cycle,CDC42 GTPase cycle,RAC1 GTPase cycle"
125,Pmm1,0,3,3,10,0.13931645,3.15E-05,0.001325551,"Asparagine N-linked glycosylation,Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein,Metabolism of proteins,Synthesis of GDP-mannose,Post-translational protein modification,Synthesis of substrates in N-glycan biosythesis"
126,Ulk1,3,0,3,10,0.1370382,0.000198776,0.004585253,"Macroautophagy,Autophagy,Membrane Trafficking,Vesicle-mediated transport,TBC/RABGAPs,Rab regulation of trafficking,RAB GEFs exchange GTP for GDP on RABs,Mitophagy,Receptor Mediated Mitophagy,Selective autophagy"
127,Adipor2,3,1,3,10,0.13552165,1.37E-06,0.000378519,"Metabolism,Integration of energy metabolism,AMPK inhibits chREBP transcriptional activation activity"
128,Gtf2f2,3,0,3,10,0.1353269,0.000414168,4.83E-08,"Formation of RNA Pol II elongation complex ,RNA Polymerase II Transcription Elongation,Gene expression (Transcription),RNA Polymerase II Transcription,Formation of the Early Elongation Complex,RNA Polymerase II Pre-transcription Events,Transcriptional Regulation by TP53,TP53 Regulates Transcription of DNA Repair Genes,Generic Transcription Pathway,FGFR2 alternative splicing,Signaling by FGFR,Signaling by FGFR2,Signaling by Receptor Tyrosine Kinases,Signal Transduction,RNA polymerase II transcribes snRNA genes,Metabolism of RNA,mRNA Capping,mRNA Splicing,mRNA Splicing - Major Pathway,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing - Minor Pathway,RNA Polymerase II Transcription Initiation And Promoter Clearance,RNA Polymerase II Promoter Escape,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,RNA Polymerase II Transcription Initiation,RNA Pol II CTD phosphorylation and interaction with CE,ESR-mediated signaling,Estrogen-dependent gene expression,Signaling by Nuclear Receptors"
129,Rpl37,3,1,3,10,0.13410725,1.59E-05,4.34E-06,"Eukaryotic Translation Initiation,Translation,Metabolism of proteins,L13a-mediated translational silencing of Ceruloplasmin expression,SRP-dependent cotranslational protein targeting to membrane,Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,rRNA processing in the nucleus and cytosol,rRNA processing,Formation of a pool of free 40S subunits,Cap-dependent Translation Initiation,GTP hydrolysis and joining of the 60S ribosomal subunit,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense-Mediated Decay (NMD),Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
36,Atox1,0,4,4,10,0.1335985,1.53E-05,2.47E-06,"Ion influx/efflux at host-pathogen interface,Antimicrobial peptides,Immune System,Innate Immune System"
130,Col14a1,0,3,3,10,0.132372444,0.000110475,0.018886089,"Collagen biosynthesis and modifying enzymes,Collagen formation,Extracellular matrix organization,Assembly of collagen fibrils and other multimeric structures,Collagen chain trimerization"
131,Bloc1s1,0,3,3,10,0.130094243,0.000187447,0.002289296,"Lysosome Vesicle Biogenesis,Vesicle-mediated transport,trans-Golgi Network Vesicle Budding,Membrane Trafficking,Golgi Associated Vesicle Biogenesis"
132,Hao1,3,0,3,10,0.1293381,4.53E-05,0.009823904,"Glyoxylate metabolism and glycine degradation,Metabolism,Metabolism of amino acids and derivatives,Peroxisomal protein import,Protein localization"
133,Tle1,3,0,3,10,0.1277617,0.000190781,0.011823287,"Signal Transduction,Signaling by WNT,TCF transactivating complex,TCF dependent signaling in response to WNT,Deactivation of the beta-catenin transactivating complex,Repression of WNT target genes,Degradation of beta-catenin by the destruction complex"
37,Tcf3,4,0,4,10,0.12718346,1.03E-05,1.42E-06,"Myogenesis,Developmental Biology,Transcriptional regulation by RUNX1,RNA Polymerase II Transcription,RUNX1 regulates transcription of genes involved in differentiation of HSCs,Generic Transcription Pathway,Gene expression (Transcription)"
134,Hmg20b,3,0,3,10,0.12701775,0.000425343,5.50E-07,"Chromatin modifying enzymes,Chromatin organization,HDACs deacetylate histones,Hemostasis,Factors involved in megakaryocyte development and platelet production"
38,Slc30a10,4,0,4,10,0.1264645,7.83E-06,4.56E-06,"SLC-mediated transmembrane transport,Metal ion SLC transporters,Transport of small molecules,Transport of bile salts and organic acids, metal ions and amine compounds"
135,Slc25a20,3,0,3,10,0.12585342,0.000109006,0.0141831,"Fatty acid metabolism,Carnitine metabolism,Metabolism,Metabolism of lipids"
39,Entpd2,0,4,4,8,0.12559692,1.70E-05,1.86E-06,"Nucleobase catabolism,Metabolism,Phosphate bond hydrolysis by NTPDase proteins,Metabolism of nucleotides"
136,Nln,1,3,3,10,0.12458955,8.88E-06,0.0022777,"GPCR ligand binding,Signaling by GPCR,Peptide ligand-binding receptors,Class A/1 (Rhodopsin-like receptors),Signal Transduction"
137,B3gntl1,0,3,3,8,0.123871,5.71E-05,0.003109335,"O-linked glycosylation of mucins,O-linked glycosylation,Post-translational protein modification,Metabolism of proteins"
138,Hmgcs2,3,0,3,10,0.122991625,0.000325009,0.000597173,"Metabolism of lipids,Synthesis of Ketone Bodies,Ketone body metabolism,Metabolism"
139,Uba5,0,3,3,8,0.12247845,3.68E-05,0.0001939,"Adaptive Immune System,Immune System, Ubiquitination & Proteasome degradation,Class I MHC mediated antigen processing & presentation"
40,Pold4,0,4,4,10,0.12135745,4.56E-06,0.00031076,"DNA Damage Bypass,Recognition of DNA damage by PCNA-containing replication complex,DNA Repair,Polymerase switching on the C-strand of the telomere,Telomere Maintenance,Chromosome Maintenance,Telomere C-strand (Lagging Strand) Synthesis,Extension of Telomeres,Cell Cycle,Processive synthesis on the C-strand of the telomere,Removal of the Flap Intermediate from the C-strand,Mismatch Repair,MSH6 (MutSalpha),MSH3 (MutSbeta),Base Excision Repair,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Resolution of Abasic Sites (AP sites),PCNA-Dependent Long Patch Base Excision Repair,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,Termination of translesion DNA synthesis,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),HDR through Homologous Recombination (HRR),DNA Double-Strand Break Repair,Homology Directed Repair,Gap-filling DNA repair synthesis and ligation in GG-NER,Nucleotide Excision Repair,Global Genome Nucleotide Excision Repair (GG-NER),Dual Incision in GG-NER,Transcription-Coupled Nucleotide Excision Repair (TC-NER),Dual incision in TC-NER,Gap-filling DNA repair synthesis and ligation in TC-NER,Polymerase switching,DNA Replication,Leading Strand Synthesis,S Phase,Synthesis of DNA,Lagging Strand Synthesis,Cell Cycle, Mitotic,DNA strand elongation,Removal of the Flap Intermediate,Processive synthesis on the lagging strand"
140,C9,0,3,3,10,0.119203165,0.000660185,0.000666095,"Innate Immune System,Immune System,Complement cascade,Terminal pathway of complement,Regulation of Complement cascade"
41,Amotl2,0,4,4,10,0.11771259,1.92E-05,0.002918575,"Signal Transduction,Signaling by Hippo"
141,Cps1,3,0,3,10,0.117338229,0.000172129,0.007086537,"Metabolism,Urea cycle,Metabolism of amino acids and derivatives"
142,Etfdh,3,0,3,10,0.1165741,0.000325009,0.000230013,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.,The citric acid (TCA) cycle and respiratory electron transport,Metabolism,Respiratory electron transport"
143,Mtnr1a,0,3,3,10,0.1159813,0.000180338,0.041643725,"GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (i) signalling events"
144,Srebf1,0,3,3,10,0.114995106,3.15E-05,0.002108763,"Metabolism,Regulation of cholesterol biosynthesis by SREBP (SREBF),Metabolism of lipids,Metabolism of steroids"
145,Rgs3,3,0,3,10,0.11391005,0.000190781,0.004328507,"Signaling by GPCR,GPCR downstream signalling,Signal Transduction,G alpha (q) signalling events,G alpha (i) signalling events"
146,Mrc1,3,0,3,10,0.11386895,6.37E-05,0.000727607,"Antigen processing-Cross presentation,Immune System,Class I MHC mediated antigen processing & presentation,Cross-presentation of soluble exogenous antigens (endosomes),Adaptive Immune System"
147,Acad10,1,3,3,8,0.1132708,1.13E-05,3.24E-06,"Metabolism of lipids,Fatty acid metabolism,Mitochondrial Fatty Acid Beta-Oxidation,Metabolism"
148,Sdc4,1,3,3,10,0.11315135,3.90E-05,9.60E-07,"Chondroitin sulfate/dermatan sulfate metabolism,Heparan sulfate/heparin (HS-GAG) metabolism,Metabolism,Glycosaminoglycan metabolism,A tetrasaccharide linker sequence is required for GAG synthesis,Metabolism of carbohydrates,HS-GAG biosynthesis,HS-GAG degradation,Hemostasis,Cell surface interactions at the vascular wall,Extracellular matrix organization,Syndecan interactions,Non-integrin membrane-ECM interactions,Visual phototransduction,Sensory Perception,Retinoid metabolism and transport,Metabolism of fat-soluble vitamins,Metabolism of vitamins and cofactors"
149,Casp7,0,3,3,10,0.11294395,0.000187447,9.52E-07,"Cytochrome c-mediated apoptotic response,Activation of caspases through apoptosome-mediated cleavage,Programmed Cell Death,Apoptotic factor-mediated response,Intrinsic Pathway for Apoptosis,Apoptosis,SMAC (DIABLO) binds to IAPs ,SMAC, XIAP-regulated apoptotic response,caspase complexes ,Apoptotic execution phase,Apoptotic cleavage of cellular proteins,Caspase-mediated cleavage of cytoskeletal proteins"
150,Bri3,3,0,3,10,0.1121908,0.000425343,5.17E-07,"Innate Immune System,Neutrophil degranulation,Immune System"
151,F13b,3,0,3,10,0.112171445,9.33E-05,0.012395327,"Formation of Fibrin Clot (Clotting Cascade),Hemostasis,Common Pathway of Fibrin Clot Formation"
152,Dnmt3b,0,3,3,6,0.111446067,0.000577221,8.53E-06,"Gene expression (Transcription),Epigenetic regulation of gene expression,PRC2 methylates histones and DNA,SUMOylation,SUMO E3 ligases SUMOylate target proteins,Post-translational protein modification,Metabolism of proteins,SUMOylation of DNA methylation proteins"
153,Ercc3,0,3,3,10,0.110918175,5.37E-05,0.006206589,"Formation of RNA Pol II elongation complex ,RNA Polymerase II Transcription Elongation,Gene expression (Transcription),RNA Polymerase II Transcription,Formation of the Early Elongation Complex,Nucleotide Excision Repair,DNA Repair,Global Genome Nucleotide Excision Repair (GG-NER),Formation of Incision Complex in GG-NER,Dual Incision in GG-NER,RNA Polymerase II Pre-transcription Events,Transcription-Coupled Nucleotide Excision Repair (TC-NER),Formation of TC-NER Pre-Incision Complex,Dual incision in TC-NER,Gap-filling DNA repair synthesis and ligation in TC-NER,Transcriptional Regulation by TP53,TP53 Regulates Transcription of DNA Repair Genes,Generic Transcription Pathway,Metabolism of RNA,mRNA Capping,RNA Polymerase I Transcription Initiation,RNA Polymerase I Promoter Clearance,RNA Polymerase I Transcription,RNA Polymerase I Promoter Escape,RNA Polymerase II Transcription Initiation And Promoter Clearance,RNA Polymerase II Promoter Escape,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,RNA Polymerase I Transcription Termination,RNA Polymerase II Transcription Initiation,RNA Pol II CTD phosphorylation and interaction with CE"
154,Pml,0,3,3,10,0.110324105,0.000414168,0.004710059,"Metabolism of proteins,Post-translational protein modification,SUMOylation of DNA damage response and repair proteins,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of ubiquitinylation proteins,Generic Transcription Pathway,Regulation of TP53 Activity,Transcriptional Regulation by TP53,RNA Polymerase II Transcription,Regulation of TP53 Activity through Acetylation,Gene expression (Transcription),Transcriptional regulation by RUNX1,Regulation of RUNX1 Expression and Activity,PTEN Regulation,Regulation of PTEN localization,Signal Transduction,PIP3 activates AKT signaling,Intracellular signaling by second messengers"
155,Agxt2,0,3,3,10,0.10949485,0.000365462,6.42E-06,"Glyoxylate metabolism and glycine degradation,Metabolism,Metabolism of amino acids and derivatives"
156,Slc35b4,3,0,3,10,0.109251315,0.000660185,0.001732609,"Transport of vitamins, nucleosides, and related molecules,Transport of small molecules,Transport of nucleotide sugars,SLC-mediated transmembrane transport"
157,B4galt1,3,1,3,10,0.1092396,4.60E-06,6.08E-07,"Keratan sulfate/keratin metabolism,Keratan sulfate biosynthesis,Metabolism of carbohydrates,Metabolism,Glycosaminoglycan metabolism,Fertilization,Interaction With Cumulus Cells And The Zona Pellucida,Reproduction,Lactose synthesis,Innate Immune System,Neutrophil degranulation,Immune System,Metabolism of proteins,Transport to the Golgi and subsequent modification,N-Glycan antennae elongation,Asparagine N-linked glycosylation,N-glycan antennae elongation in the medial/trans-Golgi,Post-translational protein modification"
158,Wnt5b,0,3,3,8,0.10900965,0.000357165,4.18E-09,"Signal Transduction,WNT ligand biogenesis and trafficking,Signaling by WNT,Beta-catenin independent WNT signaling,PCP/CE pathway"
42,Reck,4,0,4,10,0.108877805,3.52E-05,2.05E-07," synthesis of GPI-anchored proteins,Metabolism of proteins,Post-translational protein modification"
159,Slc22a5,3,0,3,10,0.1088448,5.37E-05,0.000252076,"Fatty acid metabolism,Carnitine metabolism,Metabolism,Metabolism of lipids,Organic cation transport,Transport of small molecules,SLC-mediated transmembrane transport,Organic cation/anion/zwitterion transport,Transport of bile salts and organic acids, metal ions and amine compounds"
43,Zfand6,4,0,4,8,0.108698561,8.61E-06,0.001487934,"Peroxisomal protein import,Protein localization"
160,Glud1,3,1,3,10,0.10769345,2.76E-05,0.000251188,"Organelle biogenesis and maintenance,Mitochondrial biogenesis,Transcriptional activation of mitochondrial biogenesis,Metabolism of amino acids and derivatives,Glutamate and glutamine metabolism,Metabolism"
161,Serinc3,3,0,3,10,0.106290615,0.000187447,0.000661518,"Serine biosynthesis,Metabolism,Metabolism of amino acids and derivatives"
162,Hps4,0,3,3,8,0.10604801,0.000725504,0.00019863,"RAB GEFs exchange GTP for GDP on RABs,Vesicle-mediated transport,Rab regulation of trafficking,Membrane Trafficking"
44,Enpp1,4,0,4,8,0.1057729,3.97E-05,0.00014977,"Metabolism,Metabolism of water-soluble vitamins and cofactors,Vitamin B2 (riboflavin) metabolism,Metabolism of vitamins and cofactors"
163,Tmc6,0,3,3,10,0.1050101,6.96E-05,9.98E-05,"Innate Immune System,Neutrophil degranulation,Immune System"
164,Asah2,0,3,3,10,0.10472386,0.000325009,7.91E-05,"Glycosphingolipid metabolism,Sphingolipid metabolism,Metabolism,Metabolism of lipids"
165,Rps21,3,1,3,10,0.10465155,3.87E-06,0.001941613,"Eukaryotic Translation Initiation,Translation,Metabolism of proteins,L13a-mediated translational silencing of Ceruloplasmin expression,SRP-dependent cotranslational protein targeting to membrane,Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,rRNA processing in the nucleus and cytosol,rRNA processing,Cap-dependent Translation Initiation,Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S,Translation initiation complex formation,Formation of a pool of free 40S subunits,Formation of the ternary complex, and subsequently, the 43S complex,Ribosomal scanning and start codon recognition,GTP hydrolysis and joining of the 60S ribosomal subunit,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense-Mediated Decay (NMD),Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
166,Mcm4,1,3,3,10,0.103284415,4.56E-06,0.000626685,"Activation of ATR in response to replication stress,G2/M Checkpoints,Cell Cycle,Cell Cycle Checkpoints,Assembly of the pre-replicative complex,DNA Replication,DNA Replication Pre-Initiation,Synthesis of DNA,Cell Cycle, Mitotic,Switching of origins to a post-replicative state,Orc1 removal from chromatin,S Phase,Activation of the pre-replicative complex,Mitotic G1 phase and G1/S transition,G1/S Transition"
45,Scamp1,4,0,4,10,0.102378051,7.83E-06,5.51E-05,"Innate Immune System,Neutrophil degranulation,Immune System"
46,Lsm3,0,4,4,10,0.10199435,1.53E-05,0.005711157,"mRNA decay by 5' to 3' exoribonuclease,Deadenylation-dependent mRNA decay,Metabolism of RNA,mRNA Splicing,mRNA Splicing - Major Pathway,Processing of Capped Intron-Containing Pre-mRNA"
167,Mib2,0,3,3,8,0.101683465,4.26E-05,0.001827292,"Adaptive Immune System,Immune System, Ubiquitination & Proteasome degradation,Class I MHC mediated antigen processing & presentation"
168,Akr1b7,3,0,3,8,0.10111617,0.000736384,0.000779675,"Metabolism,Metabolism of steroid hormones,Metabolism of steroids,Metabolism of lipids,Estrogen biosynthesis,Visual phototransduction,Sensory Perception,Retinoid metabolism and transport,Metabolism of fat-soluble vitamins,Metabolism of vitamins and cofactors"
169,Rpl28,3,0,3,6,0.100945145,0.000408676,0.011200176,"Eukaryotic Translation Initiation,Translation,Metabolism of proteins,L13a-mediated translational silencing of Ceruloplasmin expression,SRP-dependent cotranslational protein targeting to membrane,Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,rRNA processing in the nucleus and cytosol,rRNA processing,Formation of a pool of free 40S subunits,Cap-dependent Translation Initiation,GTP hydrolysis and joining of the 60S ribosomal subunit,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense-Mediated Decay (NMD),Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
170,Uaca,0,3,3,10,0.10080951,0.000187447,6.12E-08,"Signal Transduction,RHO GTPase cycle,RHOH GTPase cycle,Signaling by Rho GTPases,Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
171,Daam1,0,3,3,10,0.100660365,0.000187447,0.000227749,"Beta-catenin independent WNT signaling,Signal Transduction,Signaling by WNT,PCP/CE pathway,RHO GTPase Effectors,Signaling by Rho GTPases,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,RHO GTPases Activate Formins,RHOA GTPase cycle,RHO GTPase cycle,RHOB GTPase cycle,RHOC GTPase cycle,CDC42 GTPase cycle"
